Month,Season,Budget,Temperature,Weather,Activity_Preference,Group_Size,Suggested_Place
December,Winter,Medium,11,Cold,Adventure,6,Kumili
July,Monsoon,Low,25,Rainy,Family Trip,3,Leh & Ladakh
October,Autumn,Low,20,Mild,Cultural,7,"Rann of Kutch, Gujarat"
April,Spring,Low,22,Pleasant,Eco Tourism,1,"Kullu-Manali, Himachal Pradesh"
January,Winter,Medium,12,Cold,Adventure,7,Kullu
June,Monsoon,High,27,Rainy,Family Trip,8,Coorg
June,Monsoon,High,26,Rainy,Family Trip,4,"Valley of Flowers, Uttarakhand"
August,Monsoon,High,25,Rainy,Family Trip,8,"Tsomgo Lake, Sikkim"
August,Monsoon,High,24,Rainy,Family Trip,2,Udaipur
June,Monsoon,Medium,22,Rainy,Family Trip,10,Wayanad
January,Winter,Medium,6,Cold,Adventure,3,"Kullu-Manali, Himachal Pradesh"
September,Autumn,Low,16,Mild,Cultural,6,"Darjeeling, Kalimpong - West Bengal"
March,Spring,Medium,24,Pleasant,Eco Tourism,1,Rann of Kutch
August,Monsoon,Medium,30,Rainy,Family Trip,3,Ooty
April,Spring,Medium,16,Pleasant,Eco Tourism,2,Jammu-Kashmir
January,Winter,Low,6,Cold,Adventure,4,"Abbey Falls, Coorg"
October,Autumn,Medium,22,Mild,Cultural,5,Darjeeling
February,Winter,Medium,10,Cold,Adventure,4,Jammu-Kashmir
April,Spring,Medium,27,Pleasant,Eco Tourism,2,"Rann of Kutch, Gujarat"
March,Spring,Low,21,Pleasant,Eco Tourism,2,Udaipur
December,Winter,Low,9,Cold,Adventure,4,"Nohkalikai Falls, Cherrapunji"
April,Spring,Low,30,Pleasant,Eco Tourism,7,Jaisalmer
December,Winter,High,2,Cold,Adventure,9,Kodaikanal
January,Winter,Low,13,Cold,Adventure,8,Wayanad
December,Winter,High,8,Cold,Adventure,5,"Kullu-Manali, Himachal Pradesh"
November,Autumn,Low,19,Mild,Cultural,2,Munnar
October,Autumn,High,16,Mild,Cultural,7,"Hampi, Karnataka"
August,Monsoon,Medium,22,Rainy,Family Trip,5,Ooty
December,Winter,Low,-4,Cold,Adventure,1,Mount Abu
July,Monsoon,Medium,25,Rainy,Family Trip,6,"Darjeeling, Kalimpong - West Bengal"
June,Monsoon,Low,22,Rainy,Family Trip,2,"Rann of Kutch, Gujarat"
December,Winter,Low,-4,Cold,Adventure,10,"Nohkalikai Falls, Cherrapunji"
February,Winter,Medium,15,Cold,Adventure,7,Kullu
April,Spring,High,15,Pleasant,Eco Tourism,1,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
May,Summer,Low,26,Hot,Adventure,6,Leh & Ladakh
October,Autumn,Low,16,Mild,Cultural,5,Munnar
April,Spring,High,26,Pleasant,Eco Tourism,5,"Wayanad, Alleppey - Kerala"
July,Monsoon,Medium,22,Rainy,Family Trip,6,Mount Abu
November,Autumn,Medium,25,Mild,Cultural,8,Mussoorie
April,Spring,Medium,15,Pleasant,Eco Tourism,10,"Valley of Flowers, Uttarakhand"
November,Autumn,Medium,16,Mild,Cultural,7,Kullu
September,Autumn,High,18,Mild,Cultural,9,Udaipur
April,Spring,Medium,16,Pleasant,Eco Tourism,7,"Pillar Rocks, Kodaikanal"
January,Winter,Medium,-2,Cold,Adventure,9,Gulmarg
February,Winter,High,13,Cold,Adventure,8,"Darjeeling, Kalimpong - West Bengal"
March,Spring,Low,24,Pleasant,Eco Tourism,8,"Kullu-Manali, Himachal Pradesh"
May,Summer,High,25,Hot,Adventure,9,"Hampi, Karnataka"
November,Autumn,High,24,Mild,Cultural,3,Shimla
January,Winter,Medium,-4,Cold,Adventure,10,"Kullu-Manali, Himachal Pradesh"
July,Monsoon,High,23,Rainy,Family Trip,9,"Palolem Beach, Goa"
October,Autumn,Medium,23,Mild,Cultural,1,Gangtok
December,Winter,Low,0,Cold,Adventure,10,"Hampi, Karnataka"
November,Autumn,Medium,24,Mild,Cultural,7,"Kullu-Manali, Himachal Pradesh"
November,Autumn,High,20,Mild,Cultural,4,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
February,Winter,Medium,2,Cold,Adventure,8,"Sunset Viewpoint, Agumbe"
May,Summer,Low,26,Hot,Adventure,4,"Kullu-Manali, Himachal Pradesh"
June,Monsoon,Medium,23,Rainy,Family Trip,3,Gangtok
December,Winter,Medium,-2,Cold,Adventure,3,Gulmarg
October,Autumn,High,19,Mild,Cultural,8,Darjeeling
April,Spring,High,17,Pleasant,Eco Tourism,4,Gulmarg
March,Spring,Medium,25,Pleasant,Eco Tourism,9,Jammu-Kashmir
May,Summer,Medium,27,Hot,Adventure,4,Tawang
May,Summer,High,37,Hot,Adventure,4,Kumili
December,Winter,High,-4,Cold,Adventure,4,"Rann of Kutch, Gujarat"
November,Autumn,High,15,Mild,Cultural,5,"Hampi, Karnataka"
July,Monsoon,High,27,Rainy,Family Trip,3,Gangtok
February,Winter,Medium,13,Cold,Adventure,4,Darjeeling
July,Monsoon,High,22,Rainy,Family Trip,3,"Nilgiris Tiger Reserves, Karnataka"
March,Spring,Medium,16,Pleasant,Eco Tourism,8,Idukki
June,Monsoon,High,27,Rainy,Family Trip,10,"Manali and Kullu, Himachal Pradesh"
April,Spring,High,19,Pleasant,Eco Tourism,4,Mount Abu
November,Autumn,Low,25,Mild,Cultural,7,"Elephant Falls, Shillong"
November,Autumn,Medium,22,Mild,Cultural,9,"Darjeeling, West Bengal"
November,Autumn,High,17,Mild,Cultural,8,Coorg
January,Winter,High,6,Cold,Adventure,3,Shimla
May,Summer,Low,29,Hot,Adventure,10,"Manali and Kullu, Himachal Pradesh"
October,Autumn,Medium,24,Mild,Cultural,2,"Hampi, Karnataka"
September,Autumn,High,22,Mild,Cultural,1,Coorg
December,Winter,Medium,10,Cold,Adventure,10,Jaisalmer
March,Spring,Low,29,Pleasant,Eco Tourism,6,Jammu-Kashmir
December,Winter,High,4,Cold,Adventure,10,"Pushkar, Rajasthan"
November,Autumn,Low,23,Mild,Cultural,5,Ooty
June,Monsoon,Medium,22,Rainy,Family Trip,2,Shimla
September,Autumn,High,16,Mild,Cultural,2,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
March,Spring,Medium,18,Pleasant,Eco Tourism,7,"Mahabaleshwar, Maharashtra"
September,Autumn,Low,25,Mild,Cultural,10,"Bhushi Dam, Lonavala"
March,Spring,High,24,Pleasant,Eco Tourism,10,Mount Abu
May,Summer,Low,26,Hot,Adventure,4,"Kullu-Manali, Himachal Pradesh"
July,Monsoon,Medium,28,Rainy,Family Trip,3,"Amber Palace, Jaipur"
November,Autumn,Medium,21,Mild,Cultural,9,Jaisalmer
March,Spring,High,27,Pleasant,Eco Tourism,8,"Ooty, Tamil Nadu"
December,Winter,Medium,-2,Cold,Adventure,9,"Rann of Kutch, Gujarat"
February,Winter,Low,9,Cold,Adventure,1,"Bhushi Dam, Lonavala"
October,Autumn,Low,25,Mild,Cultural,4,Shimla
July,Monsoon,High,26,Rainy,Family Trip,2,"Sunset Viewpoint, Agumbe"
June,Monsoon,High,21,Rainy,Family Trip,9,"Darjeeling, Kalimpong - West Bengal"
June,Monsoon,High,29,Rainy,Family Trip,7,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
October,Autumn,Low,17,Mild,Cultural,8,"Elephant Falls, Shillong"
July,Monsoon,High,24,Rainy,Family Trip,2,"Hampi, Karnataka"
May,Summer,Low,32,Hot,Adventure,10,Rann of Kutch
May,Summer,High,31,Hot,Adventure,2,"Valley of Flowers, Uttarakhand"
May,Summer,Medium,29,Hot,Adventure,6,Udaipur
September,Autumn,Low,17,Mild,Cultural,9,Shimla
February,Winter,Low,5,Cold,Adventure,7,"Mahabaleshwar, Maharashtra"
October,Autumn,Medium,17,Mild,Cultural,2,"Hampi, Karnataka"
April,Spring,Medium,15,Pleasant,Eco Tourism,5,Kullu
June,Monsoon,High,27,Rainy,Family Trip,9,"Bhushi Dam, Lonavala"
August,Monsoon,Low,24,Rainy,Family Trip,10,Gulmarg
April,Spring,High,15,Pleasant,Eco Tourism,9,"Pillar Rocks, Kodaikanal"
April,Spring,Medium,28,Pleasant,Eco Tourism,8,"Bhushi Dam, Lonavala"
April,Spring,High,16,Pleasant,Eco Tourism,2,Rishikesh
October,Autumn,Low,25,Mild,Cultural,7,Wayanad
February,Winter,Low,5,Cold,Adventure,8,Shillong
August,Monsoon,High,20,Rainy,Family Trip,7,Wayanad
September,Autumn,Medium,23,Mild,Cultural,3,"Bhushi Dam, Lonavala"
May,Summer,Low,27,Hot,Adventure,1,"Manali and Kullu, Himachal Pradesh"
February,Winter,Medium,4,Cold,Adventure,3,Jammu-Kashmir
October,Autumn,Low,16,Mild,Cultural,8,"Kullu-Manali, Himachal Pradesh"
June,Monsoon,High,24,Rainy,Family Trip,5,Rishikesh
May,Summer,Low,28,Hot,Adventure,4,"Amber Palace, Jaipur"
November,Autumn,High,21,Mild,Cultural,4,Mount Abu
November,Autumn,High,20,Mild,Cultural,3,"Valley of Flowers, Uttarakhand"
April,Spring,High,15,Pleasant,Eco Tourism,4,"Manali and Kullu, Himachal Pradesh"
September,Autumn,High,16,Mild,Cultural,3,"Darjeeling, Kalimpong - West Bengal"
February,Winter,Low,1,Cold,Adventure,9,"Hampi, Karnataka"
December,Winter,Medium,8,Cold,Adventure,1,"Leh-Ladakh, Jammu & Kashmir"
November,Autumn,Medium,23,Mild,Cultural,3,"Darjeeling, West Bengal"
January,Winter,High,7,Cold,Adventure,3,Mussoorie
March,Spring,Medium,27,Pleasant,Eco Tourism,7,"Darjeeling, Kalimpong - West Bengal"
January,Winter,Medium,11,Cold,Adventure,2,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
October,Autumn,High,17,Mild,Cultural,4,Leh & Ladakh
August,Monsoon,Medium,30,Rainy,Family Trip,7,Auli
February,Winter,Low,9,Cold,Adventure,4,Mussoorie
February,Winter,Low,4,Cold,Adventure,9,Goa
May,Summer,Low,34,Hot,Adventure,7,Idukki
July,Monsoon,High,21,Rainy,Family Trip,1,Kodaikanal
September,Autumn,High,17,Mild,Cultural,9,Munnar
August,Monsoon,High,23,Rainy,Family Trip,10,"Rann of Kutch, Gujarat"
December,Winter,Medium,15,Cold,Adventure,8,Kullu
April,Spring,Low,24,Pleasant,Eco Tourism,10,"Darjeeling, Kalimpong - West Bengal"
September,Autumn,Medium,21,Mild,Cultural,9,"Attukal Waterfalls, Munnar"
August,Monsoon,High,23,Rainy,Family Trip,10,Kumili
June,Monsoon,High,23,Rainy,Family Trip,3,Gangtok
June,Monsoon,Low,26,Rainy,Family Trip,4,"Darjeeling, West Bengal"
October,Autumn,Medium,18,Mild,Cultural,1,"Bhushi Dam, Lonavala"
October,Autumn,Low,18,Mild,Cultural,2,Munnar
July,Monsoon,High,22,Rainy,Family Trip,6,"Bhushi Dam, Lonavala"
September,Autumn,Low,19,Mild,Cultural,8,"Wayanad, Alleppey - Kerala"
August,Monsoon,Medium,30,Rainy,Family Trip,5,Kodaikanal
October,Autumn,High,23,Mild,Cultural,1,"Manali and Kullu, Himachal Pradesh"
March,Spring,High,22,Pleasant,Eco Tourism,8,"Ooty, Tamil Nadu"
January,Winter,High,5,Cold,Adventure,9,"Elephant Falls, Shillong"
February,Winter,Medium,15,Cold,Adventure,3,"Hampi, Karnataka"
July,Monsoon,Low,28,Rainy,Family Trip,5,"Hampi, Karnataka"
September,Autumn,Medium,19,Mild,Cultural,8,Jaisalmer
September,Autumn,Low,25,Mild,Cultural,3,Kodaikanal
November,Autumn,Low,16,Mild,Cultural,2,"Darjeeling, West Bengal"
March,Spring,Low,27,Pleasant,Eco Tourism,9,"Darjeeling, Kalimpong - West Bengal"
April,Spring,Low,16,Pleasant,Eco Tourism,9,"Wayanad, Alleppey - Kerala"
July,Monsoon,Low,22,Rainy,Family Trip,8,"Tsomgo Lake, Sikkim"
April,Spring,Medium,30,Pleasant,Eco Tourism,10,Munnar
March,Spring,Low,25,Pleasant,Eco Tourism,8,"Wayanad, Alleppey - Kerala"
January,Winter,High,8,Cold,Adventure,1,Goa
January,Winter,Low,8,Cold,Adventure,4,Wayanad
June,Monsoon,High,20,Rainy,Family Trip,7,Idukki
April,Spring,High,18,Pleasant,Eco Tourism,2,"Wayanad, Alleppey - Kerala"
March,Spring,Medium,21,Pleasant,Eco Tourism,9,"Palolem Beach, Goa"
October,Autumn,Low,15,Mild,Cultural,1,"Manali and Kullu, Himachal Pradesh"
August,Monsoon,Medium,25,Rainy,Family Trip,6,"Leh-Ladakh, Jammu & Kashmir"
July,Monsoon,High,29,Rainy,Family Trip,4,Kumili
November,Autumn,Low,25,Mild,Cultural,4,Wayanad
March,Spring,High,26,Pleasant,Eco Tourism,6,Dalhousie
June,Monsoon,High,26,Rainy,Family Trip,9,Shimla
September,Autumn,Low,18,Mild,Cultural,10,"Darjeeling, Kalimpong - West Bengal"
November,Autumn,High,15,Mild,Cultural,8,"Manali and Kullu, Himachal Pradesh"
March,Spring,Medium,18,Pleasant,Eco Tourism,2,Rann of Kutch
June,Monsoon,High,24,Rainy,Family Trip,5,"Sunset Viewpoint, Agumbe"
January,Winter,High,-3,Cold,Adventure,2,"Nilgiris Tiger Reserves, Karnataka"
October,Autumn,Medium,22,Mild,Cultural,8,Jammu-Kashmir
August,Monsoon,Low,24,Rainy,Family Trip,6,"Leh-Ladakh, Jammu & Kashmir"
June,Monsoon,Low,24,Rainy,Family Trip,6,"Kullu-Manali, Himachal Pradesh"
January,Winter,High,13,Cold,Adventure,1,"Sunset Viewpoint, Agumbe"
October,Autumn,High,20,Mild,Cultural,10,Rishikesh
June,Monsoon,High,28,Rainy,Family Trip,1,"Valley of Flowers, Uttarakhand"
February,Winter,High,7,Cold,Adventure,8,Udaipur
April,Spring,High,29,Pleasant,Eco Tourism,10,"Pillar Rocks, Kodaikanal"
October,Autumn,Low,16,Mild,Cultural,10,Udaipur
January,Winter,Medium,1,Cold,Adventure,6,"Hampi, Karnataka"
December,Winter,High,5,Cold,Adventure,7,"Abbey Falls, Coorg"
May,Summer,Medium,26,Hot,Adventure,9,"Darjeeling, Kalimpong - West Bengal"
August,Monsoon,Low,27,Rainy,Family Trip,2,Kullu
April,Spring,High,19,Pleasant,Eco Tourism,9,Kumili
January,Winter,Medium,10,Cold,Adventure,1,"Nohkalikai Falls, Cherrapunji"
May,Summer,Low,27,Hot,Adventure,1,"Sunset Viewpoint, Agumbe"
April,Spring,Low,26,Pleasant,Eco Tourism,5,Wayanad
September,Autumn,Medium,16,Mild,Cultural,5,"Bhushi Dam, Lonavala"
February,Winter,Low,4,Cold,Adventure,7,Shillong
September,Autumn,High,24,Mild,Cultural,5,Munnar
May,Summer,Low,31,Hot,Adventure,8,"Wayanad, Alleppey - Kerala"
September,Autumn,High,16,Mild,Cultural,10,Mussoorie
May,Summer,Low,33,Hot,Adventure,1,"Pillar Rocks, Kodaikanal"
May,Summer,Medium,37,Hot,Adventure,1,Jammu-Kashmir
August,Monsoon,High,22,Rainy,Family Trip,1,Shillong
April,Spring,Medium,16,Pleasant,Eco Tourism,4,"Amber Palace, Jaipur"
September,Autumn,Low,25,Mild,Cultural,10,Gangtok
December,Winter,Low,-4,Cold,Adventure,7,"Ooty, Tamil Nadu"
January,Winter,High,11,Cold,Adventure,1,Kodaikanal
February,Winter,Medium,0,Cold,Adventure,3,Rann of Kutch
August,Monsoon,Medium,29,Rainy,Family Trip,1,"Ooty, Tamil Nadu"
February,Winter,High,4,Cold,Adventure,5,"Rann of Kutch, Gujarat"
November,Autumn,Medium,16,Mild,Cultural,3,"Manali and Kullu, Himachal Pradesh"
October,Autumn,Medium,19,Mild,Cultural,2,Gulmarg
November,Autumn,High,24,Mild,Cultural,5,Shillong
October,Autumn,High,21,Mild,Cultural,7,"Attukal Waterfalls, Munnar"
April,Spring,Medium,24,Pleasant,Eco Tourism,9,"Kullu-Manali, Himachal Pradesh"
April,Spring,Low,25,Pleasant,Eco Tourism,7,Rann of Kutch
January,Winter,Low,-3,Cold,Adventure,5,Kodaikanal
December,Winter,Low,5,Cold,Adventure,5,"Attukal Waterfalls, Munnar"
February,Winter,Medium,-2,Cold,Adventure,8,"Attukal Waterfalls, Munnar"
December,Winter,Medium,3,Cold,Adventure,10,Jammu-Kashmir
May,Summer,Medium,25,Hot,Adventure,4,Darjeeling
June,Monsoon,Medium,23,Rainy,Family Trip,4,Idukki
September,Autumn,Low,18,Mild,Cultural,10,"Nohkalikai Falls, Cherrapunji"
May,Summer,Medium,33,Hot,Adventure,9,Darjeeling
June,Monsoon,Low,29,Rainy,Family Trip,7,"Darjeeling, Kalimpong - West Bengal"
September,Autumn,Medium,25,Mild,Cultural,6,Darjeeling
February,Winter,Medium,6,Cold,Adventure,10,"Darjeeling, Kalimpong - West Bengal"
December,Winter,Low,4,Cold,Adventure,3,Auli
March,Spring,High,18,Pleasant,Eco Tourism,3,"Leh-Ladakh, Jammu & Kashmir"
June,Monsoon,Low,27,Rainy,Family Trip,7,"Kullu-Manali, Himachal Pradesh"
February,Winter,Low,-1,Cold,Adventure,2,"Pushkar, Rajasthan"
August,Monsoon,Medium,27,Rainy,Family Trip,10,"Leh-Ladakh, Jammu & Kashmir"
September,Autumn,Medium,22,Mild,Cultural,10,"Nilgiris Tiger Reserves, Karnataka"
February,Winter,Low,-2,Cold,Adventure,9,Kodaikanal
May,Summer,Medium,26,Hot,Adventure,1,"Darjeeling, West Bengal"
December,Winter,Medium,14,Cold,Adventure,6,"Attukal Waterfalls, Munnar"
July,Monsoon,Low,30,Rainy,Family Trip,9,"Elephant Falls, Shillong"
September,Autumn,Medium,22,Mild,Cultural,7,Idukki
November,Autumn,Low,16,Mild,Cultural,6,"Palolem Beach, Goa"
May,Summer,Low,36,Hot,Adventure,6,Rishikesh
October,Autumn,Low,17,Mild,Cultural,5,Coorg
March,Spring,Medium,22,Pleasant,Eco Tourism,10,"Darjeeling, Kalimpong - West Bengal"
September,Autumn,Low,23,Mild,Cultural,6,Rishikesh
March,Spring,Medium,23,Pleasant,Eco Tourism,9,Jammu-Kashmir
October,Autumn,High,24,Mild,Cultural,4,"Darjeeling, Kalimpong - West Bengal"
August,Monsoon,Low,29,Rainy,Family Trip,5,Wayanad
May,Summer,High,38,Hot,Adventure,2,"Sunset Viewpoint, Agumbe"
September,Autumn,Low,24,Mild,Cultural,6,"Wayanad, Alleppey - Kerala"
March,Spring,Medium,30,Pleasant,Eco Tourism,4,"Palolem Beach, Goa"
January,Winter,Low,13,Cold,Adventure,7,Rann of Kutch
November,Autumn,High,17,Mild,Cultural,8,Coorg
February,Winter,High,4,Cold,Adventure,3,Munnar
May,Summer,High,36,Hot,Adventure,6,Kumili
January,Winter,High,9,Cold,Adventure,6,"Pillar Rocks, Kodaikanal"
September,Autumn,Medium,24,Mild,Cultural,8,Kullu
October,Autumn,Low,25,Mild,Cultural,6,"Sunset Viewpoint, Agumbe"
February,Winter,Medium,8,Cold,Adventure,4,"Rann of Kutch, Gujarat"
May,Summer,High,31,Hot,Adventure,3,"Attukal Waterfalls, Munnar"
March,Spring,Low,18,Pleasant,Eco Tourism,1,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
August,Monsoon,Medium,20,Rainy,Family Trip,3,"Rann of Kutch, Gujarat"
October,Autumn,High,22,Mild,Cultural,4,"Abbey Falls, Coorg"
December,Winter,High,-2,Cold,Adventure,1,"Wayanad, Kerala"
September,Autumn,Medium,22,Mild,Cultural,5,"Valley of Flowers, Uttarakhand"
June,Monsoon,High,25,Rainy,Family Trip,9,Munnar
November,Autumn,Low,20,Mild,Cultural,8,Rishikesh
January,Winter,Medium,1,Cold,Adventure,9,"Kullu-Manali, Himachal Pradesh"
August,Monsoon,High,27,Rainy,Family Trip,3,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
February,Winter,Medium,-3,Cold,Adventure,7,"Tsomgo Lake, Sikkim"
January,Winter,Low,11,Cold,Adventure,6,"Ooty, Tamil Nadu"
December,Winter,Low,13,Cold,Adventure,6,Shillong
March,Spring,High,19,Pleasant,Eco Tourism,2,Gulmarg
October,Autumn,High,24,Mild,Cultural,8,"Nohkalikai Falls, Cherrapunji"
October,Autumn,Medium,25,Mild,Cultural,8,Idukki
November,Autumn,High,17,Mild,Cultural,2,"Darjeeling, Kalimpong - West Bengal"
December,Winter,High,6,Cold,Adventure,10,Shillong
January,Winter,High,11,Cold,Adventure,7,Dalhousie
January,Winter,Low,-4,Cold,Adventure,1,"Manali and Kullu, Himachal Pradesh"
September,Autumn,Low,22,Mild,Cultural,3,"Hampi, Karnataka"
November,Autumn,Low,15,Mild,Cultural,1,"Rann of Kutch, Gujarat"
July,Monsoon,Medium,25,Rainy,Family Trip,3,Jammu-Kashmir
November,Autumn,Low,17,Mild,Cultural,7,"Pushkar, Rajasthan"
August,Monsoon,Medium,22,Rainy,Family Trip,7,Coorg
February,Winter,High,1,Cold,Adventure,3,Kumili
September,Autumn,Medium,25,Mild,Cultural,3,Rishikesh
July,Monsoon,Low,22,Rainy,Family Trip,2,"Ooty, Tamil Nadu"
October,Autumn,High,16,Mild,Cultural,10,"Tsomgo Lake, Sikkim"
August,Monsoon,Medium,28,Rainy,Family Trip,7,"Wayanad, Alleppey - Kerala"
May,Summer,Medium,27,Hot,Adventure,3,Munnar
December,Winter,Medium,1,Cold,Adventure,3,"Sunset Viewpoint, Agumbe"
October,Autumn,Low,24,Mild,Cultural,7,Udaipur
October,Autumn,Low,19,Mild,Cultural,4,"Darjeeling, Kalimpong - West Bengal"
April,Spring,High,27,Pleasant,Eco Tourism,9,"Bhushi Dam, Lonavala"
January,Winter,Medium,9,Cold,Adventure,6,Ooty
December,Winter,High,4,Cold,Adventure,3,"Tsomgo Lake, Sikkim"
February,Winter,Medium,2,Cold,Adventure,4,Udaipur
March,Spring,High,25,Pleasant,Eco Tourism,6,"Kullu-Manali, Himachal Pradesh"
June,Monsoon,High,22,Rainy,Family Trip,2,Wayanad
March,Spring,Low,28,Pleasant,Eco Tourism,6,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
January,Winter,High,3,Cold,Adventure,2,Mussoorie
April,Spring,Low,16,Pleasant,Eco Tourism,6,"Nilgiris Tiger Reserves, Karnataka"
October,Autumn,Low,25,Mild,Cultural,8,"Kullu-Manali, Himachal Pradesh"
March,Spring,Low,26,Pleasant,Eco Tourism,1,Kodaikanal
April,Spring,High,22,Pleasant,Eco Tourism,9,"Tsomgo Lake, Sikkim"
February,Winter,High,10,Cold,Adventure,3,Rishikesh
October,Autumn,Medium,15,Mild,Cultural,2,"Manali and Kullu, Himachal Pradesh"
January,Winter,High,7,Cold,Adventure,9,"Pushkar, Rajasthan"
July,Monsoon,Low,25,Rainy,Family Trip,4,Coorg
August,Monsoon,High,26,Rainy,Family Trip,3,"Tsomgo Lake, Sikkim"
March,Spring,Low,23,Pleasant,Eco Tourism,2,"Darjeeling, Kalimpong - West Bengal"
November,Autumn,Medium,17,Mild,Cultural,9,Darjeeling
June,Monsoon,Low,23,Rainy,Family Trip,4,Idukki
June,Monsoon,Medium,24,Rainy,Family Trip,9,Jammu-Kashmir
June,Monsoon,High,25,Rainy,Family Trip,7,"Attukal Waterfalls, Munnar"
April,Spring,High,21,Pleasant,Eco Tourism,1,Mount Abu
August,Monsoon,High,21,Rainy,Family Trip,9,Kullu
October,Autumn,Medium,25,Mild,Cultural,7,"Nohkalikai Falls, Cherrapunji"
October,Autumn,High,15,Mild,Cultural,1,"Ooty, Tamil Nadu"
September,Autumn,Medium,21,Mild,Cultural,9,"Manali and Kullu, Himachal Pradesh"
June,Monsoon,High,22,Rainy,Family Trip,6,"Sunset Viewpoint, Agumbe"
January,Winter,High,-5,Cold,Adventure,8,"Wayanad, Alleppey - Kerala"
July,Monsoon,Medium,25,Rainy,Family Trip,4,Udaipur
January,Winter,Medium,6,Cold,Adventure,10,"Hampi, Karnataka"
June,Monsoon,High,23,Rainy,Family Trip,5,"Mahabaleshwar, Maharashtra"
December,Winter,Low,-4,Cold,Adventure,8,Gulmarg
November,Autumn,High,20,Mild,Cultural,3,"Valley of Flowers, Uttarakhand"
January,Winter,Low,15,Cold,Adventure,6,Kullu
June,Monsoon,High,26,Rainy,Family Trip,7,"Mahabaleshwar, Maharashtra"
May,Summer,High,27,Hot,Adventure,1,Munnar
May,Summer,High,27,Hot,Adventure,8,Munnar
January,Winter,High,-5,Cold,Adventure,8,"Bhushi Dam, Lonavala"
September,Autumn,High,21,Mild,Cultural,5,"Nilgiris Tiger Reserves, Karnataka"
January,Winter,Low,4,Cold,Adventure,2,Dalhousie
December,Winter,Medium,9,Cold,Adventure,4,"Darjeeling, Kalimpong - West Bengal"
October,Autumn,Low,16,Mild,Cultural,1,"Kullu-Manali, Himachal Pradesh"
July,Monsoon,Medium,29,Rainy,Family Trip,1,Auli
February,Winter,High,3,Cold,Adventure,10,Kumili
October,Autumn,Medium,15,Mild,Cultural,6,"Wayanad, Alleppey - Kerala"
June,Monsoon,Low,23,Rainy,Family Trip,6,Rishikesh
July,Monsoon,High,22,Rainy,Family Trip,4,Munnar
April,Spring,Low,29,Pleasant,Eco Tourism,9,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
December,Winter,High,2,Cold,Adventure,5,Shillong
July,Monsoon,Low,22,Rainy,Family Trip,9,"Tsomgo Lake, Sikkim"
February,Winter,Low,10,Cold,Adventure,5,Shillong
May,Summer,Medium,38,Hot,Adventure,3,"Elephant Falls, Shillong"
January,Winter,Medium,-4,Cold,Adventure,7,"Rann of Kutch, Gujarat"
September,Autumn,Low,15,Mild,Cultural,8,"Tsomgo Lake, Sikkim"
July,Monsoon,Low,25,Rainy,Family Trip,2,"Darjeeling, Kalimpong - West Bengal"
February,Winter,Low,11,Cold,Adventure,8,"Wayanad, Alleppey - Kerala"
May,Summer,High,28,Hot,Adventure,5,Rishikesh
November,Autumn,Medium,17,Mild,Cultural,3,"Mahabaleshwar, Maharashtra"
September,Autumn,Medium,24,Mild,Cultural,8,Kodaikanal
June,Monsoon,Medium,30,Rainy,Family Trip,8,Wayanad
February,Winter,High,6,Cold,Adventure,2,Jaisalmer
July,Monsoon,High,26,Rainy,Family Trip,10,Rishikesh
October,Autumn,Medium,24,Mild,Cultural,4,"Pushkar, Rajasthan"
February,Winter,High,9,Cold,Adventure,6,"Tsomgo Lake, Sikkim"
September,Autumn,Medium,25,Mild,Cultural,9,"Kullu-Manali, Himachal Pradesh"
October,Autumn,Low,25,Mild,Cultural,7,Gulmarg
October,Autumn,High,25,Mild,Cultural,3,Gulmarg
May,Summer,High,32,Hot,Adventure,10,Kullu
July,Monsoon,Low,26,Rainy,Family Trip,4,"Kullu-Manali, Himachal Pradesh"
January,Winter,High,14,Cold,Adventure,2,"Bhushi Dam, Lonavala"
July,Monsoon,High,21,Rainy,Family Trip,6,Munnar
March,Spring,Medium,29,Pleasant,Eco Tourism,10,"Elephant Falls, Shillong"
